amp,std
0.0,0.0
4.664442376744121e-18,4.57996589227098e-20
9.2770304213728e-18,1.183618118425607e-19
1.0310034836416763e-17,1.4357344092581755e-19
1.0567450729189966e-17,1.5344720636382455e-19
1.0643164329619206e-17,1.5716316030518674e-19
1.0673419889234601e-17,1.593560876705825e-19
1.0686756707877415e-17,1.611314098104236e-19
1.0691734248561419e-17,1.6167087776695342e-19
1.0693609775125874e-17,1.6216814697848698e-19
1.0694881920800032e-17,1.6239263368585015e-19
1.0696097041751092e-17,1.628401449352862e-19
1.0696290777009729e-17,1.628957839349813e-19
1.0697072109583209e-17,1.6354895221058088e-19
1.0697139572626864e-17,1.6356606105690757e-19
1.069718781016396e-17,1.635804740904824e-19
1.0697223538189675e-17,1.635949092136143e-19
1.0697251807687624e-17,1.6360925851870973e-19
1.0697263619210888e-17,1.6361358122308464e-19
1.0697270841835192e-17,1.636154235683638e-19
1.0697283250763268e-17,1.6361654352631878e-19
