amp,std
0.0,0.0
-1.875669136346433e-16,4.933327883585685e-19
-6.876618877333413e-16,3.021239665567422e-18
-1.2195089122891045e-15,6.493252364145812e-18
-1.665663812047125e-15,1.0158954417214522e-17
-2.0205992617010108e-15,1.4001631058234072e-17
-2.2968276130317517e-15,1.7542660952753987e-17
-2.50434561660229e-15,2.0686909194516728e-17
-2.665531568590013e-15,2.3737346167909204e-17
-2.788823856444335e-15,2.6551149505479798e-17
-2.887909573422552e-15,2.9583572339232917e-17
-2.9647167817211347e-15,3.225933864440651e-17
-3.026569066079193e-15,3.5166139065022727e-17
-3.0773491682312003e-15,3.763503689379659e-17
-3.114632120348644e-15,3.972893427173538e-17
-3.1451166212260886e-15,4.120253405274074e-17
-3.169218992097287e-15,4.2531676242018575e-17
-3.191996801046503e-15,4.4218963282994254e-17
-3.2103391767841606e-15,4.6241263059645735e-17
-3.223049397985619e-15,4.724734977710392e-17
-3.232950584686794e-15,4.7344198505033135e-17
