amp,std
0.0,0.0
5.488914033432771e-7,3.264808185056054e-9
1.2309253813737283e-6,8.418766573010528e-9
1.7245246945478175e-6,1.2907472402647096e-8
2.072421241175156e-6,1.6617729055643477e-8
2.3223440524893427e-6,1.9747655307423963e-8
2.506637287482762e-6,2.235774762068843e-8
2.646978127894317e-6,2.4521073883917637e-8
2.757330925162917e-6,2.6472151178799003e-8
2.845973992925041e-6,2.8216476727571962e-8
2.9191368037619937e-6,2.996372883627183e-8
2.976598257075362e-6,3.141178193321087e-8
3.0238633118838572e-6,3.259887162701704e-8
3.063627821867896e-6,3.371536863468095e-8
3.0962378517240724e-6,3.47546490465927e-8
3.1230593470262464e-6,3.5562122642841325e-8
3.145452405732429e-6,3.6430260902124605e-8
3.1654966761289263e-6,3.7154600586928124e-8
3.183103242794651e-6,3.793990545159081e-8
3.1972455110654863e-6,3.8474129153812285e-8
3.210337758216725e-6,3.904587451784829e-8
