Dl = 0,Dl = 1
0.0,0.0
2.1443188158057302e-14,4.381203593478095e-14
1.0020342244117779e-13,2.2850015312009545e-13
2.418382464597888e-13,6.033086274088327e-13
4.260132864895474e-13,1.1341600281866452e-12
6.385896589965057e-13,1.788172658943545e-12
8.638286795997893e-13,2.516182071099326e-12
1.0935793036836088e-12,3.2887301759773627e-12
1.3205501480386962e-12,4.07642709456705e-12
1.5414696952491573e-12,4.863555759910322e-12
1.7535272454702866e-12,5.635767426230775e-12
