amp,std
0.0,0.0
2.8997150604654537e-7,2.2005172777583836e-9
4.925693661081166e-7,4.197549311491197e-9
5.769438955327421e-7,5.233464080119914e-9
6.147566176608455e-7,5.80252170047921e-9
6.346177080709076e-7,6.1600391932465165e-9
6.450555352479691e-7,6.38569373340912e-9
6.50878015207198e-7,6.531621878752714e-9
6.546245012419152e-7,6.634498362055814e-9
6.571709391491903e-7,6.725502316789939e-9
6.586818310223946e-7,6.782772269342033e-9
6.597285154059233e-7,6.832205407358116e-9
6.604574794422845e-7,6.866099000991018e-9
6.610276860822277e-7,6.900965450011865e-9
6.614497490980884e-7,6.932246862400661e-9
6.617191262373084e-7,6.945542718101822e-9
6.619343764007218e-7,6.959668174047161e-9
6.62100121218949e-7,6.975919445385216e-9
6.622160734855682e-7,6.989262710071025e-9
6.623092597603467e-7,6.99846346104494e-9
6.623795944003637e-7,7.006530084890105e-9
