amp,std
0.0,0.0
7.475935419617971e-18,6.919903334285913e-20
1.7557815011103952e-17,2.1038000434930698e-19
2.0903658301478405e-17,2.774611269690829e-19
2.204464902246818e-17,3.101337269695361e-19
2.2445871196162795e-17,3.259019503507134e-19
2.2609787898154977e-17,3.3460591569839987e-19
2.2679249991080558e-17,3.3924847036420357e-19
2.2717120634186208e-17,3.446366061259455e-19
2.273378936735062e-17,3.461416105322688e-19
2.2743399177884865e-17,3.478207374102488e-19
2.274735382626108e-17,3.484288495636153e-19
2.2749450230602803e-17,3.486119785299632e-19
2.275136538614488e-17,3.4902109441073176e-19
2.2752326727663275e-17,3.493019275064255e-19
2.2752907991953592e-17,3.494351109073638e-19
2.275918862931794e-17,3.55265093401337e-19
2.275944838337145e-17,3.5533015304844033e-19
2.2760216596588624e-17,3.559462082043963e-19
2.2760321340653917e-17,3.559838856030244e-19
2.2760364083994812e-17,3.5598499053264293e-19
