Dl = 0,Dl = 1,Dl = 2,Dl = 3,Dl = 4,Dl = 5,Dl = 6
2.1458755029864142e-14,4.46485215760327e-14,5.4706865381581137e-14,5.867610377413004e-14,5.95352339139273e-14,6.090044515971525e-14,6.100200629945045e-14
1.0672419924942341e-13,2.465261821921088e-13,3.3071438632923825e-13,3.6674812357557454e-13,3.7921484483365116e-13,3.8605162730333347e-13,3.9534795167473565e-13
2.6417867837468575e-13,6.665957825839747e-13,9.569824324717722e-13,1.1153055581089399e-12,1.1827785444083373e-12,1.233249360800575e-12,1.26109604603775e-12
4.625934773217495e-13,1.236304526401843e-12,1.8896963657523415e-12,2.263826015227335e-12,2.4909077648428367e-12,2.6308929673754013e-12,2.6973149606614966e-12
6.8643543842139e-13,1.927530231736195e-12,3.105516105954626e-12,3.8686218159869225e-12,4.316397907455411e-12,4.62832174899512e-12,4.8065907998859925e-12
9.310795736788507e-13,2.6929803087897968e-12,4.534108281472395e-12,5.825009243847357e-12,6.6440064394248845e-12,7.223639087964949e-12,7.567192820931138e-12
