n_confs,amp,std
0.0,0.0,0.0
8.0,3.1333009008276647e-7,5.41588998641483e-10
81.0,7.535166512395538e-7,1.5163991322516629e-9
367.0,1.113450290532678e-6,2.4583740795048903e-9
1125.0,1.3838657710800853e-6,3.2753039790069523e-9
2853.0,1.5924470034434795e-6,4.006595353759843e-9
6252.0,1.754191553597128e-6,4.646152180437151e-9
12494.0,1.8832214988928166e-6,5.218596601790857e-9
23058.0,1.987124639832293e-6,5.731228230881586e-9
40222.0,2.0718176552188115e-6,6.1921644426485775e-9
66675.0,2.1434683243041392e-6,6.617660988823903e-9
106341.0,2.203141969502821e-6,7.000947814122667e-9
163647.0,2.2533471249244356e-6,7.346025978797958e-9
244811.0,2.2971816077286665e-6,7.672595426912548e-9
356622.0,2.3351993114140384e-6,7.973966045126866e-9
508348.0,2.3683522245937243e-6,8.258595171933987e-9
709860.0,2.397103134298503e-6,8.51601835314284e-9
974340.0,2.4229431404626413e-6,8.767962255944434e-9
1.315557e6,2.4453796084278648e-6,8.992217358651379e-9
1.751579e6,2.4656631789647633e-6,9.208549030355919e-9
2.300985e6,2.4841639645540697e-6,9.415911640006114e-9
