Dl = 0,Dl = 1,Dl = 2,Dl = 3,Dl = 4,Dl = 5
0.0,0.0,0.0,0.0,0.0,0.0
2.1443188158057302e-14,4.381203593478095e-14,5.441385095080003e-14,5.836078626750109e-14,6.003243394415042e-14,6.090717660956198e-14
1.0020342244117781e-13,2.2850015312009545e-13,3.069232354186289e-13,3.416126479305915e-13,3.5704395453848745e-13,3.648019618634977e-13
2.4183824645978876e-13,6.033086274088325e-13,8.74030651214698e-13,1.017097427513191e-12,1.0881452354787473e-12,1.124999894239234e-12
4.260132864895473e-13,1.1341600281866452e-12,1.7439688322568212e-12,2.112378268085179e-12,2.3150672441389445e-12,2.4264368661037587e-12
6.385896589965054e-13,1.788172658943545e-12,2.8877068959540264e-12,3.6270584543120958e-12,4.0727264055758424e-12,4.333797375620636e-12
8.638286795997888e-13,2.516182071099322e-12,4.2275078815837676e-12,5.478965828253384e-12,6.2926281471024495e-12,6.798269005905382e-12
