amp,std
0.0,0.0
7.348625310227915e-7,3.895254601610003e-9
1.888367662138147e-6,1.1598141114042277e-8
2.9330003628134375e-6,2.0003137130661083e-8
3.81850522599636e-6,2.8042840395760074e-8
4.566592921746436e-6,3.6029251607063936e-8
5.1748165337573395e-6,4.331037015832906e-8
5.678913126214229e-6,5.002967901846751e-8
6.12300169060815e-6,5.6700419868407634e-8
6.494906680149494e-6,6.30015743750699e-8
6.801144871639315e-6,6.838015494556815e-8
7.072383290057465e-6,7.373716811829478e-8
7.309202864095413e-6,7.877467565876644e-8
7.516893060981519e-6,8.370385264827308e-8
7.701737512837059e-6,8.879547083365236e-8
7.864634712911874e-6,9.318606945616483e-8
8.002801399333216e-6,9.698392744817629e-8
8.121185558760439e-6,1.0047972820888423e-7
8.22419915969616e-6,1.035239479263759e-7
8.318719546687726e-6,1.0646598406822442e-7
8.399990848688102e-6,1.092458720259541e-7
