amp,std
0.0,0.0
-3.5347322419574434e-17,1.2435273764253205e-19
-6.86232035185989e-17,3.8760423344180465e-19
-7.954065887213905e-17,5.156467330412164e-19
-8.319699708465968e-17,5.79233235108196e-19
-8.443973969620165e-17,6.11656906001503e-19
-8.495991049458184e-17,6.304271482598052e-19
-8.517441988671483e-17,6.4128424127843115e-19
-8.52692329969257e-17,6.455358683527765e-19
-8.532308973395155e-17,6.526449444371487e-19
-8.534535811655984e-17,6.543020423047826e-19
-8.535959736429477e-17,6.559484357657699e-19
-8.536829771489548e-17,6.570688637595678e-19
-8.537182269068056e-17,6.5754703817911015e-19
-8.538008508769538e-17,6.634114690772938e-19
-8.538152589682958e-17,6.638450301846094e-19
-8.538285008631593e-17,6.641107589110492e-19
-8.538358492862832e-17,6.642488184875447e-19
-8.538426704912871e-17,6.644298554258063e-19
-8.538718222997185e-17,6.6706737224460105e-19
-8.538736110991965e-17,6.670736525194472e-19
