n_confs,amp,std
0.0,0.0,0.0
8.0,3.149831829545744e-7,1.7346705995177826e-9
81.0,7.512515950532733e-7,4.8137625848459045e-9
367.0,1.1144946974072986e-6,7.78128399648122e-9
1125.0,1.3840930909159115e-6,1.039175547500747e-8
2853.0,1.591309205782554e-6,1.2695785763559984e-8
6252.0,1.754025181871832e-6,1.469633784903597e-8
12494.0,1.8814969188342766e-6,1.6506501373279932e-8
23058.0,1.9842285685106244e-6,1.8090376974588538e-8
40222.0,2.0683282774838537e-6,1.9497950039321173e-8
66675.0,2.1375783384969534e-6,2.078504115973985e-8
106341.0,2.197710200638106e-6,2.2069324950308304e-8
163647.0,2.2491456908092203e-6,2.3192744328521172e-8
244811.0,2.29191911385236e-6,2.419211015960554e-8
356622.0,2.327172369907262e-6,2.5061114833161395e-8
508348.0,2.3594144875687686e-6,2.598014228209785e-8
709860.0,2.387403406974893e-6,2.6739584466360495e-8
974340.0,2.412347808207712e-6,2.7473553054354453e-8
1.315557e6,2.4358285426740227e-6,2.8237114887742294e-8
1.751579e6,2.4563816158665484e-6,2.89714559547347e-8
2.300985e6,2.475402031524168e-6,2.970298145246672e-8
