amp,std
0.0,0.0
7.412582568042506e-7,3.826240269937164e-9
1.923739315350295e-6,1.1700178670655688e-8
3.0124496681957755e-6,2.0320406934351797e-8
3.9559159177361425e-6,2.8944566423583948e-8
4.7414054902828085e-6,3.7349134231271456e-8
5.398488151015871e-6,4.520714962265985e-8
5.9511077942687735e-6,5.2777718426356304e-8
6.428197500102148e-6,5.987965211644278e-8
6.840804708621317e-6,6.672641721714476e-8
7.186055758121194e-6,7.295055016561629e-8
7.4959822488235226e-6,7.919582021329772e-8
7.753680897164704e-6,8.453571310555674e-8
7.984812333064866e-6,8.952434539395348e-8
8.191812014063535e-6,9.438227231299105e-8
8.366612257474033e-6,9.884302866491834e-8
8.529315570009876e-6,1.0357930087687149e-7
8.6716395089126e-6,1.0799560532882288e-7
8.810474792992107e-6,1.1256496249567746e-7
8.920144296968813e-6,1.1651233735059438e-7
9.027406860858853e-6,1.2090588794311973e-7
