amp,std
0.0,0.0
7.420902317709201e-7,3.854934667152489e-9
1.9273556968624157e-6,1.1865119041332596e-8
3.020091107218343e-6,2.043482172105932e-8
3.945657192829565e-6,2.883107618701487e-8
4.735392534213665e-6,3.726807861714509e-8
5.402387385013308e-6,4.5163092783277394e-8
5.967936457585416e-6,5.28705820416305e-8
6.442292863502313e-6,5.998542203942244e-8
6.858573085870799e-6,6.690684550360782e-8
7.209794173231671e-6,7.316149679323815e-8
7.504293096954445e-6,7.871910579787911e-8
7.761051079254756e-6,8.399593303729177e-8
7.995500000427094e-6,8.935512562677712e-8
8.20394556697931e-6,9.469220963032231e-8
8.391579393276613e-6,9.981404818984012e-8
8.553615727694904e-6,1.0407813113641655e-7
8.69795710509364e-6,1.0854845460759017e-7
8.817498269108054e-6,1.1280320296073428e-7
8.938492960887917e-6,1.1654148690739874e-7
9.038048849694166e-6,1.2026972216500665e-7
