Dl = 0
0.0
2.2928160365187808e-14
1.1337347817854907e-13
2.875390533682219e-13
4.665475258288706e-13
6.755090641519968e-13
8.918727200184509e-13
1.1379550636311444e-12
1.3677343025290897e-12
1.6398416734973099e-12
1.841478459676644e-12
2.0472567659022323e-12
2.285708384076815e-12
2.4825207845929637e-12
2.709283325649891e-12
2.9437284836508753e-12
3.1615995684320433e-12
3.3329517142118337e-12
3.541980319040712e-12
3.713012785799309e-12
3.881293080337315e-12
