amp,std
0.0,0.0
2.949617448631849e-7,7.017638403443146e-10
5.071159673086096e-7,1.3590211271629361e-9
5.990788788878033e-7,1.7118427763395177e-9
6.421285499168952e-7,1.9114357845709533e-9
6.642564503528781e-7,2.036045687339127e-9
6.766260481296736e-7,2.118595663659817e-9
6.838269754807664e-7,2.174190250221307e-9
6.883981254008639e-7,2.2155468927840053e-9
6.913771742318621e-7,2.2469712701728165e-9
6.933461222287507e-7,2.2706899531702563e-9
6.947401639583005e-7,2.29126518742199e-9
6.957231596648953e-7,2.3068406506897215e-9
6.964172928318812e-7,2.3189555651147767e-9
6.969309423442779e-7,2.328890537636475e-9
6.973249993857205e-7,2.3382199387559716e-9
6.97612044702817e-7,2.3442557397647275e-9
6.978377286988349e-7,2.349966119121656e-9
6.980161157051606e-7,2.35480355616553e-9
6.981495329757224e-7,2.3595123323968895e-9
6.982574520162759e-7,2.363504045342946e-9
