amp,std
0.0,0.0
5.583911956915123e-18,5.4077081833239764e-20
1.1811468687112166e-17,1.478932663062615e-19
1.3488470043014745e-17,1.863148163657885e-19
1.3931189000533303e-17,2.0166292171509066e-19
1.4081500749133503e-17,2.0970477889064319e-19
1.4128804479911506e-17,2.1281810078918481e-19
1.4154620643766418e-17,2.1583910217171026e-19
1.4167075854885448e-17,2.1855733025879845e-19
1.4171358559765955e-17,2.1992826301437714e-19
1.417420964835953e-17,2.2063314851767453e-19
1.4175840668063898e-17,2.210342926309661e-19
1.4176347965232967e-17,2.2113088369177506e-19
1.4176750855847063e-17,2.2129540190835143e-19
1.41768791814958e-17,2.213174814599074e-19
1.4177028802515237e-17,2.213586665491189e-19
1.417715174226247e-17,2.2140666545677243e-19
1.417728144489448e-17,2.2150577566117703e-19
1.417730610714591e-17,2.2151418631456777e-19
1.4177317644235158e-17,2.215179107373106e-19
1.4177382100487305e-17,2.2152530541892543e-19
