amp,std
0.0,0.0
2.2727197983409036e-7,5.583877540961279e-9
3.675921028344844e-7,1.0235479186487061e-8
4.1772686474933503e-7,1.2299095514154902e-8
4.3934970459740377e-7,1.3382421334509668e-8
4.4899009585815536e-7,1.397561521359967e-8
4.535002815657804e-7,1.4317251617907247e-8
4.5577268472982715e-7,1.4488151054025256e-8
4.570196770419478e-7,1.4605854620457456e-8
4.5801875653509417e-7,1.4750855037012507e-8
4.585101167580029e-7,1.4799820646245027e-8
4.5891998167985556e-7,1.4864341025819046e-8
4.5916576683279215e-7,1.48965680936013e-8
4.593902087486673e-7,1.4964096198338232e-8
4.5951023789260123e-7,1.50045501432743e-8
4.595917049374428e-7,1.5017873026156234e-8
4.5965457940344084e-7,1.5026363714661962e-8
4.597232883497471e-7,1.505695845842753e-8
4.597506222854251e-7,1.5060285256039838e-8
4.5977636844635345e-7,1.506751749498212e-8
4.5979107821725544e-7,1.5069961478815747e-8
