amp,std
0.0,0.0
4.3767635542907137e-7,6.518156914965231e-10
1.2416036662181246e-6,2.2341012854198676e-9
2.0977869681366097e-6,4.2077438031795695e-9
2.8916098201395767e-6,6.302964109341176e-9
3.6139128304671518e-6,8.478434905269117e-9
4.254547277791363e-6,1.0641202113300458e-8
4.832021773417701e-6,1.280826317857252e-8
5.347427980561832e-6,1.4942023057903907e-8
5.813815532264679e-6,1.708934684835519e-8
6.235757942490569e-6,1.9196037456870514e-8
6.619135564458619e-6,2.1232421180079747e-8
6.970871035679558e-6,2.326010436558106e-8
7.293186365616341e-6,2.5262734335049084e-8
7.592325349649366e-6,2.7229425868638883e-8
7.87253854919084e-6,2.9207197525880542e-8
8.132044009561882e-6,3.1166953200797795e-8
8.373669999751987e-6,3.310815579705339e-8
8.59506556449316e-6,3.495046378801456e-8
8.807533359480592e-6,3.683989834605068e-8
9.005729600080256e-6,3.868683201365777e-8
