amp,std
0.0,0.0
1.3425225113216985e-6,1.828903778620455e-9
4.806292424172009e-6,8.091143604440988e-9
9.860024097229494e-6,1.853180350285745e-8
1.5791720453086053e-5,3.2260552252106495e-8
2.2331539609411835e-5,4.930000150819723e-8
2.9175138554370293e-5,6.905278410664593e-8
3.615539349615937e-5,9.136439336291213e-8
4.314670114763566e-5,1.1588510747768606e-7
5.003736928388792e-5,1.421894330200586e-7
5.6849808609560716e-5,1.7040118671000213e-7
6.35174901275486e-5,2.0030093201759312e-7
6.996580737665084e-5,2.3115596390235866e-7
7.621708696672114e-5,2.633421257542537e-7
8.23172508803451e-5,2.970632813363061e-7
8.819863912405108e-5,3.316184507993133e-7
9.385399144594475e-5,3.6660871003266625e-7
9.929917425540326e-5,4.0181469643601176e-7
0.00010459919250460281,4.3834402784634636e-7
0.0001097065477773436,4.7525788633578947e-7
0.00011462817997265944,5.127200184047155e-7
