n_confs,amp,std
0.0,0.0,0.0
8.0,17.822564444444406,0.002370520541476801
81.0,348.27522319444444,0.06883457260361332
367.0,4021.961995505555,1.6165025762467695
1125.0,24503.756679562248,15.314582393629244
2853.0,115317.87428726832,111.89820787854876
6252.0,418908.67126172566,585.5336910799742
12494.0,1.317290107109119e6,2608.674560678548
23058.0,3.599945920451273e6,9553.804113591756
40222.0,8.94064940616043e6,31183.277050516324
66675.0,2.0211795932145853e7,90126.48372905215
106341.0,4.308160428876339e7,245777.21978303717
163647.0,8.60404469678027e7,608083.0679351434
244811.0,1.643113214942881e8,1.4356455079064253e6
356622.0,2.996364294322443e8,3.1974889935555225e6
508348.0,5.2662046849279904e8,6.734815992383729e6
709860.0,8.957321394230473e8,1.3702029992565393e7
974340.0,1.4766086995604315e9,2.678297829840116e7
1.315557e6,2.3753037468465242e9,5.060347195069948e7
1.751579e6,3.729960605045162e9,9.256062675345656e7
2.300985e6,5.720762017773415e9,1.642342840542863e8
