amp,std
0.0,0.0
3.173061902349628e-7,2.0941609403930553e-9
6.228220246501216e-7,4.707998498565167e-9
7.908451087742218e-7,6.451188439983704e-9
8.847264783530125e-7,7.600079182166503e-9
9.410463381899097e-7,8.405530760320537e-9
9.76261578580061e-7,8.997058558371606e-9
9.987184345397694e-7,9.418274882307308e-9
1.0135929827138487e-6,9.724549130729033e-9
1.0240454403939543e-6,9.968785508311988e-9
1.0318768038028679e-6,1.0177876709293337e-8
1.0373176965037862e-6,1.033274289397789e-8
1.0416435645303093e-6,1.047299471219278e-8
1.0450795919996305e-6,1.0600537347757873e-8
1.0475165809254908e-6,1.0681091432058459e-8
1.0496128912838337e-6,1.078494846256697e-8
1.0511304633527916e-6,1.0853822922160052e-8
1.0524162951320512e-6,1.0910564222866898e-8
1.0534720025534463e-6,1.0964674112862006e-8
1.0543323948458405e-6,1.1013818981608091e-8
1.0550787394478315e-6,1.1054003084791722e-8
