amp
0.0
2.992545385533856e-7
5.180978259177622e-7
6.141136244214105e-7
6.594255546526003e-7
6.83202481182041e-7
6.966760096523427e-7
7.048529786310846e-7
7.100125561754582e-7
7.133357236946223e-7
7.156968806774145e-7
7.172723135648608e-7
7.184380043488837e-7
7.192730347417294e-7
7.199050119050661e-7
7.203838810219815e-7
7.20739254220861e-7
7.210237704315858e-7
7.212434926686227e-7
7.214194658392031e-7
7.215563045729458e-7
