amp,std
0.0,0.0
5.621431840262763e-7,1.0524566299420926e-9
1.2667315584991044e-6,2.7132384426784862e-9
1.8007409881952572e-6,4.2321926573223646e-9
2.1896503648629833e-6,5.5184430688687086e-9
2.486685930408945e-6,6.671620985425711e-9
2.7163188394522715e-6,7.685896232404417e-9
2.899671613669983e-6,8.596249077879671e-9
3.0478184674241e-6,9.405752296408847e-9
3.1726298316409734e-6,1.0182997268089102e-8
3.2759113564002946e-6,1.0864124829220551e-8
3.9521227234125205e-6,2.5058002429035087e-7
4.030171339853752e-6,2.5119028643307995e-7
4.0974841533149105e-6,2.5178047702676463e-7
4.1571423399388445e-6,2.523911987887862e-7
4.944330217672966e-6,7.712112921292282e-7
4.994394779029815e-6,7.729406385013012e-7
5.080321592524795e-6,7.947558944343986e-7
5.1330003017881844e-6,8.032693436540385e-7
5.1718239522783e-6,8.052631856010907e-7
5.254904796207567e-6,8.400554473118972e-7
