amp,std
0.0,0.0
3.1123099423843736e-7,1.6996785595404938e-9
7.526091593128089e-7,4.774788905861524e-9
1.108287358032078e-6,7.726046009744453e-9
1.3743446182596486e-6,1.0275476991016697e-8
1.5849346201976753e-6,1.2598986001643483e-8
1.7477508826194228e-6,1.4624067635995129e-8
1.8737614109018658e-6,1.63561790650401e-8
1.975287784145051e-6,1.7891721313272296e-8
2.0589589165599385e-6,1.9367856877894386e-8
2.1295777050901648e-6,2.0663659972151826e-8
2.190982433840578e-6,2.194536886065996e-8
2.2427279228667633e-6,2.308692756166402e-8
2.287043195353121e-6,2.4099390121240397e-8
2.3255638351197023e-6,2.5067193120979596e-8
2.3597289517746855e-6,2.6017037213552308e-8
2.3884263370527536e-6,2.690793640665079e-8
2.4136837856551167e-6,2.7663442688814928e-8
2.4359175595193977e-6,2.8443587363373955e-8
2.456695650349142e-6,2.9192942912710105e-8
2.4740777179894663e-6,2.979319169216856e-8
