amplitudes
17.21188888888932
376.20079513888936
3964.211602472241
23185.813775182105
105678.16100195816
376945.9928588591
1.1991468838331397e6
3.202006487445184e6
7.893571099957246e6
1.7901978505778775e7
3.825550857353373e7
7.695426334772927e7
1.4715085952348033e8
2.6788537720410103e8
4.711156237694565e8
8.012859979606086e8
1.3394005615203853e9
2.162239384734476e9
3.383110848172983e9
5.195247379614688e9
7.814913558227764e9
1.157423518508157e10
1.6842112646906654e10
2.423110174936377e10
