amp,std
0.0,0.0
4.063712502667539e-7,8.378995438924911e-9
8.241995732408093e-7,1.9117152150881867e-8
1.0903829024946962e-6,2.7464045689496444e-8
1.2418743419566658e-6,3.320500332893056e-8
1.3347020745636746e-6,3.7290340256352895e-8
1.3938352557363344e-6,4.028517955581684e-8
1.441842873292439e-6,4.305502778675148e-8
1.4696655376205318e-6,4.4969208216782245e-8
1.4874393598529186e-6,4.60783591744135e-8
1.502244661448268e-6,4.7279284334962435e-8
1.5149102566283297e-6,4.823590434102387e-8
1.5244121862007251e-6,4.914048659460032e-8
1.5318968592778792e-6,4.979820957196442e-8
1.5368813517116731e-6,5.035905688475526e-8
1.5417182386900473e-6,5.0907453224811805e-8
1.5452466796241854e-6,5.132289853259391e-8
1.5482998848905936e-6,5.177675447901114e-8
1.5504983169809042e-6,5.204597013416197e-8
1.5518951927801115e-6,5.2192986052266425e-8
1.5535288392896327e-6,5.2403344708359956e-8
