amp,std
0.0,0.0
1.0249596529350307e-6,4.606386593647987e-9
3.1565208259284547e-6,1.7466631068965844e-8
5.68747556084687e-6,3.5113582669072316e-8
8.308506187682342e-6,5.576085127588948e-8
1.0869300812179145e-5,7.92024958370716e-8
1.3313407485426914e-5,1.0370312758279739e-7
1.557058764155486e-5,1.2912778571349942e-7
1.776018100939199e-5,1.5592657949777426e-7
1.9742958894346157e-5,1.826380001785331e-7
2.165135318975142e-5,2.113257507700352e-7
2.3437226235901794e-5,2.4000045583702365e-7
2.511161786215298e-5,2.6968325342725486e-7
2.6601223979987337e-5,2.968866217758122e-7
2.801665200622679e-5,3.248238662039319e-7
2.927463155208815e-5,3.5115215928460933e-7
3.0496158135843278e-5,3.78663445318521e-7
3.159392838754141e-5,4.032989601591155e-7
3.267984811738543e-5,4.2965073760865433e-7
3.369420312242651e-5,4.5693001665523346e-7
3.461666140963214e-5,4.820485054003967e-7
