amp,std
0.0,0.0
-5.63677114218778e-17,1.8802165133463125e-19
-1.2734799503768463e-16,6.914113010622091e-19
-1.589526980776759e-16,1.0069716136034992e-18
-1.7252338358634434e-16,1.1945681186614269e-18
-1.789721704065792e-16,1.3260412760554667e-18
-1.8204242489694265e-16,1.4002229143146093e-18
-1.8383993679200444e-16,1.4729706847116205e-18
-1.8482787483765324e-16,1.5312799130403856e-18
-1.8536513455801919e-16,1.5567827635411247e-18
-1.8576837521892116e-16,1.6145175451598572e-18
-1.859635394443375e-16,1.629017680804767e-18
-1.8607653607362812e-16,1.635765295202026e-18
-1.861926919610365e-16,1.6560162210213538e-18
-1.8625881965807601e-16,1.6709342361704646e-18
-1.8629217198754044e-16,1.6746481327598573e-18
-1.8631667806004797e-16,1.6770025409955316e-18
-1.8633765694351712e-16,1.6802285371848077e-18
-1.8635117353687428e-16,1.682220857456361e-18
-1.8639224631433952e-16,1.7130508848158217e-18
-1.8640313659549367e-16,1.7135272142776145e-18
