amp,std
0.0,0.0
6.012687716701045e-7,9.595081896229863e-10
1.5854205801073796e-6,3.001763253181229e-9
2.5015757202552906e-6,5.2711212375255384e-9
3.2576451646690704e-6,7.433151818692523e-9
3.881843462102696e-6,9.492359275331871e-9
4.387611513240596e-6,1.1376570661463148e-8
4.81190118298441e-6,1.3148277608631172e-8
5.164345537643611e-6,1.478867627022866e-8
5.461449271325654e-6,1.631046270774925e-8
5.714737666769279e-6,1.7731150841326294e-8
5.9307460682538715e-6,1.9029970861901277e-8
6.118330148366711e-6,2.026285413957418e-8
6.2820282179845466e-6,2.1396786322543192e-8
6.425644649491131e-6,2.2468010471505158e-8
6.552278860766907e-6,2.3464758931546908e-8
6.664963127827738e-6,2.4433234209746636e-8
6.76416313741794e-6,2.530935897103246e-8
6.8554754907408545e-6,2.6180295383824508e-8
6.937699759094992e-6,2.7006267680703654e-8
7.012170620375606e-6,2.7790655109994196e-8
