Dl = 0
2.141128311409942e-14
1.0622243751803961e-13
2.6542340806506907e-13
4.641643925144073e-13
6.896896122074195e-13
9.317548066514277e-13
1.1744107128237613e-12
1.4335888831436706e-12
1.6841850411258558e-12
1.933343149071091e-12
2.1709563698468774e-12
2.4046627859304304e-12
2.621276754373106e-12
2.8376405517940933e-12
3.0501400177622478e-12
3.248569475663004e-12
3.4360225734328187e-12
3.620247012078017e-12
3.7933773669139616e-12
3.968179459805873e-12
