amp,std
0.0,0.0
4.857814013804868e-7,9.665910255426976e-9
1.0327629181549376e-6,2.3494357487014454e-8
1.412588144093459e-6,3.464870809282887e-8
1.657028586487007e-6,4.342695154841732e-8
1.8124558647724504e-6,4.963800580119132e-8
1.919842264320527e-6,5.478830061609309e-8
1.992412494354928e-6,5.8085742494264244e-8
2.0492475255866255e-6,6.15355182385523e-8
2.0913011733736903e-6,6.470900656723997e-8
2.1250224672191086e-6,6.731998396697198e-8
2.1494119911692017e-6,6.920449336831971e-8
2.1716488400332704e-6,7.196932676473147e-8
2.186910501473122e-6,7.387792401139271e-8
2.2005896841293995e-6,7.582137184553151e-8
2.2111812363124186e-6,7.725155832160483e-8
2.219358623991386e-6,7.823091958769253e-8
2.2261027711877264e-6,7.929082657603461e-8
2.2309304542579823e-6,7.977702664364546e-8
2.2343717954090424e-6,8.021491272791712e-8
2.2380161751813556e-6,8.069736609333749e-8
