amp,std
0.0,0.0
1.1023252978684065e-18,1.0410658215448364e-20
2.4272260974035288e-18,2.973083794100403e-20
2.8154439923958313e-18,3.8059617610654246e-20
2.934932267459549e-18,4.17077304743458e-20
2.971789310979822e-18,4.325629614291613e-20
2.9865754634567034e-18,4.4133916383367093e-20
2.9943777123023778e-18,4.4798812605462404e-20
2.997605490296474e-18,4.518278885907168e-20
2.999270906435376e-18,4.54212260425773e-20
3.0000324510029588e-18,4.551268655719137e-20
3.0005136691707376e-18,4.560130203162546e-20
3.0007611292981546e-18,4.5643967558549386e-20
3.0009702612243805e-18,4.568682600257315e-20
3.0011661222780913e-18,4.577678189143551e-20
3.0012202510863574e-18,4.578834530027233e-20
3.001243280829761e-18,4.579386355635471e-20
3.0012585851715303e-18,4.579619817719006e-20
3.0012714354419897e-18,4.579852116877141e-20
3.0012795409357927e-18,4.580017708959901e-20
3.0012869101274238e-18,4.58003961026644e-20
