amp,std
0.0,0.0
-2.1435058236306963e-17,8.05009166794655e-20
-3.632353458418515e-17,2.1380723920949455e-19
-3.970618678012199e-17,2.6098884833162807e-19
-4.054341624232944e-17,2.7864890701083368e-19
-4.0780223146641003e-17,2.8584777532145663e-19
-4.086641238550454e-17,2.899401031519594e-19
-4.089549700128237e-17,2.920711572510564e-19
-4.09081435875139e-17,2.9385659605907227e-19
-4.0913046927817007e-17,2.943095988405032e-19
-4.09154407948466e-17,2.945608999442492e-19
-4.0916566217515346e-17,2.9471438725030894e-19
-4.091722503548638e-17,2.948120129306938e-19
-4.0917581401942584e-17,2.948677138850861e-19
-4.0917731268936486e-17,2.948979276856733e-19
-4.091787008876726e-17,2.949324684255152e-19
-4.091793558052756e-17,2.94950043359061e-19
-4.0917957475218716e-17,2.9495493287213317e-19
-4.091800507961299e-17,2.9497895117901425e-19
-4.09180283925552e-17,2.9499427175459642e-19
-4.0918050559373805e-17,2.9499632083625087e-19
