amp,std
0.0,0.0
7.595378165699512e-7,1.2497851513641442e-8
2.010592036240211e-6,3.879459732359621e-8
3.1504820952680416e-6,6.675932019536609e-8
4.185139009096193e-6,9.678141281248063e-8
5.052525515629451e-6,1.241495775176748e-7
5.775995946956014e-6,1.5301458608286196e-7
6.397406772330592e-6,1.7753760538126804e-7
6.891446964504443e-6,2.022308499070525e-7
7.345709261312687e-6,2.2404841380216382e-7
7.737019353067977e-6,2.456183083663345e-7
8.106014520924983e-6,2.6744652547623853e-7
8.436554115362834e-6,2.882506289594024e-7
8.700960131267126e-6,3.0859572007103757e-7
8.941640041324915e-6,3.257151645460964e-7
9.152746803053976e-6,3.425234772455122e-7
9.336050865144845e-6,3.547752508555382e-7
9.528464469409474e-6,3.7068757637146867e-7
9.680865628496858e-6,3.828718452989245e-7
9.815213924202486e-6,3.947620235212478e-7
9.929880997604517e-6,4.0471239259423826e-7
