amp,std
0.0,0.0
18.441977777777776,0.314711511276631
351.2918652777778,5.261803841030645
4054.4584752777782,52.50286490433878
24930.015954013605,283.7539287338246
115287.46030666668,1196.5618342567645
425186.8100173631,4083.724462746969
1.3169659922620617e6,11991.102268781746
3.539823466297331e6,30716.122362785056
8.841448799643515e6,73612.49042054251
2.003612571823944e7,162560.75021826744
4.2765617085326254e7,336519.73279308376
8.61118215689868e7,657611.7301339349
1.6377598841377833e8,1.2371091254693402e6
2.995715477359511e8,2.226642141246076e6
5.2654305617743874e8,3.8623272202228913e6
8.967958380237482e8,6.510765360868183e6
1.480424517346294e9,1.0612641969942855e7
2.3767761459444976e9,1.6972690620736614e7
3.72716716748268e9,2.656380642701634e7
5.702612155695751e9,4.06016442227513e7
