amp,std
0.0,0.0
6.815617202728551e-7,1.172003074127319e-8
1.7037121035289804e-6,3.446759947182844e-8
2.580579515775211e-6,5.7300895205779085e-8
3.266489084816881e-6,7.726297987508095e-8
3.827164065328281e-6,9.686044469350119e-8
4.245287263156464e-6,1.124178852284458e-7
4.5738577448330895e-6,1.2645626706668737e-7
4.838042675156269e-6,1.3998907187127973e-7
5.057106310946881e-6,1.5093102759445456e-7
5.256111354962034e-6,1.6276590296989127e-7
5.403857165043592e-6,1.7167618689637293e-7
5.529004491195486e-6,1.8063829733975209e-7
5.633687848427079e-6,1.886554913213778e-7
5.737113131211873e-6,1.991899206050984e-7
5.812140538610686e-6,2.0520943516284615e-7
5.885047194593168e-6,2.1145298769632311e-7
5.94123167214835e-6,2.1736460248099563e-7
5.9879598950695744e-6,2.2185236163460874e-7
6.024029467772343e-6,2.257425048383338e-7
6.061700368304113e-6,2.2964534724928786e-7
