amp,std
0.0,0.0
-6.932172840350504e-17,2.1566069584445793e-19
-1.746684255499123e-16,8.942708980517485e-19
-2.3300269124270294e-16,1.4153309021782568e-18
-2.6163482209433463e-16,1.763414082398995e-18
-2.7540526572900997e-16,1.9926272328944355e-18
-2.826585499679571e-16,2.1516866901143815e-18
-2.8672864227067446e-16,2.282761053265967e-18
-2.889887296576208e-16,2.3623358595644913e-18
-2.9047295057577264e-16,2.45211746151829e-18
-2.912680928247824e-16,2.489580894920756e-18
-2.917595859053603e-16,2.5131707109741137e-18
-2.920890249152351e-16,2.5340750915210454e-18
-2.923047371168224e-16,2.5507501932369716e-18
-2.9245216702556436e-16,2.5628280113984305e-18
-2.9256280385362724e-16,2.5829295656245258e-18
-2.926471380686418e-16,2.593303760419573e-18
-2.926946121042805e-16,2.5992178297522176e-18
-2.9276515833041805e-16,2.6209473257348028e-18
-2.9279852228352056e-16,2.6307430745986315e-18
-2.9282339116951186e-16,2.6316251946027952e-18
