n_confs,amp,std
0.0,0.0,0.0
8.0,3.1746870379803035e-7,5.512703094445191e-9
81.0,7.563502182333975e-7,1.504499690228985e-8
367.0,1.1158705913069022e-6,2.461169251638637e-8
1125.0,1.3749010455766599e-6,3.211203078155348e-8
2853.0,1.5847230343342773e-6,3.9811019453951156e-8
6252.0,1.7434141167441003e-6,4.583344473367532e-8
12494.0,1.877380208218964e-6,5.137649084814354e-8
23058.0,1.9788164720640036e-6,5.617972680373685e-8
40222.0,2.066062447061069e-6,6.046942068855058e-8
66675.0,2.14100430752164e-6,6.525931245843064e-8
106341.0,2.2033101540518125e-6,6.912931115348323e-8
163647.0,2.255199639393479e-6,7.24810355885873e-8
244811.0,2.3017973403894147e-6,7.589481532436578e-8
356622.0,2.3448133382167594e-6,7.928065905029344e-8
508348.0,2.378209247331175e-6,8.16912160396625e-8
709860.0,2.410913799583744e-6,8.468020747063075e-8
974340.0,2.4372410203150864e-6,8.814128692393416e-8
1.315557e6,2.460332563972479e-6,9.02608265439766e-8
1.751579e6,2.4827190482934855e-6,9.262859927097294e-8
2.300985e6,2.5000998012874335e-6,9.440762217353797e-8
