Dl = 0
0.0
2.1443188158057302e-14
1.0020342244117781e-13
2.4183824645978876e-13
4.260132864895473e-13
6.385896589965054e-13
8.638286795997888e-13
1.0935793036836084e-12
1.3205501480386951e-12
1.5414696952491553e-12
1.7535272454702862e-12
1.955827538821114e-12
2.1475850502947353e-12
2.328915466794074e-12
2.4998887701504047e-12
2.660999628629752e-12
2.812646348886266e-12
2.9554256114339144e-12
3.0898316057865792e-12
3.2164477119769395e-12
3.335764915379414e-12
