amp,std
0.0,0.0
7.568056049195955e-7,1.2415018912303119e-9
1.9748119297584673e-6,3.787181718280231e-9
3.130437849914059e-6,6.652567462634716e-9
4.122496445756598e-6,9.495454202942372e-9
4.975852719417883e-6,1.2330119681353915e-8
5.701430347773342e-6,1.5038397524554792e-8
6.327928919885147e-6,1.767023175385817e-8
6.8700690722530555e-6,2.018689419560284e-8
7.337718017192423e-6,2.2549372884446563e-8
7.753579152427063e-6,2.489395863701441e-8
8.114732472437308e-6,2.7092151440006852e-8
8.431983183696711e-6,2.9135104702728453e-8
8.714705196296411e-6,3.119078474883911e-8
8.964458383216456e-6,3.3052242024952646e-8
9.188150892387812e-6,3.487559616024755e-8
9.389234589838768e-6,3.660619687684894e-8
9.567926843773605e-6,3.820760080968227e-8
9.731123376232008e-6,3.972519107774349e-8
9.87870266632812e-6,4.116555621602631e-8
1.0010800546494503e-5,4.2581323174410625e-8
