amp,std
0.0,0.0
3.43873074548229e-18,3.4730340080272514e-20
6.292105696581733e-18,8.263612712498117e-20
6.801789528184416e-18,9.641147075558945e-20
6.9079054335622174e-18,1.0085859328143806e-19
6.934333392066683e-18,1.0282008678194563e-19
6.94480104305734e-18,1.0399859803906576e-19
6.948536755241746e-18,1.047209461988623e-19
6.95027233715775e-18,1.0494050730262853e-19
6.95137206551121e-18,1.0542593809393964e-19
6.95156344395627e-18,1.0545666792551335e-19
6.951692872180433e-18,1.0551378345807897e-19
6.951736895865558e-18,1.0552128558948546e-19
6.951807500588614e-18,1.0555727969251854e-19
6.95182827728184e-18,1.0556952382252165e-19
6.951840199562903e-18,1.0557466758576e-19
6.951843413538503e-18,1.0557541999978621e-19
6.951845723272313e-18,1.0557603907535151e-19
6.95184693186163e-18,1.0557636462681935e-19
6.951847993065292e-18,1.0557680868429728e-19
6.951848360344485e-18,1.0557682507205746e-19
