amp,std
0.0,0.0
3.4947674907034704e-18,3.51952614917261e-20
6.6450805777310345e-18,8.689790397535452e-20
7.241003596357294e-18,1.0220945891044625e-19
7.359050547273188e-18,1.070511263069646e-19
7.389646295180964e-18,1.0898734100151708e-19
7.39967641167136e-18,1.1009182401651111e-19
7.4025816684323e-18,1.104782073831118e-19
7.40408629899893e-18,1.1087581097993756e-19
7.404611001082735e-18,1.1096914533694353e-19
7.40475903021884e-18,1.1098980040728285e-19
7.404848076312158e-18,1.1100940005473903e-19
7.404909198290607e-18,1.1102850795373495e-19
7.4052327257454e-18,1.113198874892191e-19
7.40527143356593e-18,1.1134720914428874e-19
7.405266229437179e-18,1.1135847020019267e-19
7.405273769725252e-18,1.1136181870367664e-19
7.405278331079043e-18,1.1136468667206264e-19
7.405285005948174e-18,1.113699489222448e-19
7.405285227899e-18,1.1137011101943178e-19
7.405285757452072e-18,1.1137016318527645e-19
