Dl = 0
0.0
2.152983159710737e-14
1.0694402070372806e-13
2.6381192746941924e-13
4.626041981608034e-13
6.903147404093738e-13
9.271975215661553e-13
1.1779370239067564e-12
1.4284197523264571e-12
1.6798681785632206e-12
1.9267532336326583e-12
2.1640095229334822e-12
2.3926797004349654e-12
2.6151144600325593e-12
2.833678140242306e-12
3.0374120207490235e-12
3.235886515039205e-12
3.417639262793444e-12
3.6001017470322656e-12
3.7709627717907794e-12
3.946633196476479e-12
