n_confs,amp,std
0.0,0.0,0.0
8.0,2.1338761641766735e-14,1.171333627983341e-16
81.0,1.0010381179222784e-13,6.105376490607551e-16
367.0,2.430756147288408e-13,1.5892250255014236e-15
1125.0,4.296792970644413e-13,3.0102716734212807e-15
2853.0,6.419850958545577e-13,4.8258906099800725e-15
6252.0,8.652199649122162e-13,7.0091724032890315e-15
12494.0,1.0955227103385501e-12,9.551306323827273e-15
23058.0,1.3264941186964119e-12,1.2371917977232593e-14
40222.0,1.5507697960834134e-12,1.5440536208181068e-14
66675.0,1.7571315969270165e-12,1.8457773953564565e-14
106341.0,1.957760399184884e-12,2.1701143984200202e-14
163647.0,2.150352008871663e-12,2.5077481456526946e-14
244811.0,2.337205103825989e-12,2.873455567975251e-14
356622.0,2.5100796410690112e-12,3.237110395820284e-14
508348.0,2.6728896196594236e-12,3.586238025776627e-14
709860.0,2.8175713524041904e-12,3.9183877783735846e-14
974340.0,2.9631869172727936e-12,4.283751368333662e-14
1.315557e6,3.0976949459417844e-12,4.6392994847540206e-14
1.751579e6,3.2237989699417133e-12,5.002703606657898e-14
2.300985e6,3.3384365929646137e-12,5.341652786447942e-14
