n_confs,amp,std
0.0,0.0,0.0
8.0,17.70928888888887,0.3077446161390677
81.0,349.5403701388888,5.2641579360349136
367.0,4025.4811148055564,52.74865131539609
1125.0,24724.467454488098,280.4986879425781
2853.0,115492.90764975344,1202.8996393811838
6252.0,414775.0423557297,4003.4267170489593
12494.0,1.3129815883439272e6,11891.20332179035
23058.0,3.572855076849632e6,31024.19967553945
40222.0,8.89648149674154e6,73894.9298240612
66675.0,2.0151526499207485e7,160910.439008747
106341.0,4.3149122622294635e7,335176.1021319959
163647.0,8.575158624794479e7,657221.434952679
244811.0,1.642980800673242e8,1.232979007023857e6
356622.0,3.003057196145775e8,2.223688180791037e6
508348.0,5.297852055183525e8,3.87950690151499e6
709860.0,8.981036850824189e8,6.5028499950194275e6
974340.0,1.4828938897727008e9,1.0636787168775935e7
1.315557e6,2.374726084257124e9,1.695775589130299e7
1.751579e6,3.7166575212947674e9,2.6500118367732935e7
2.300985e6,5.73073663712832e9,4.056036543146576e7
