amp,std
0.0,0.0
3.072023552526144e-7,5.248256087172772e-9
7.523712533001163e-7,1.4821295735240158e-8
1.1233109273751425e-6,2.4564066015123226e-8
1.4024104204583545e-6,3.3281981231551005e-8
1.6268997542543322e-6,4.093497394934114e-8
1.7834875344891095e-6,4.672013383256547e-8
1.917683247197533e-6,5.2791853503943843e-8
2.0172178533686306e-6,5.8210572377785714e-8
2.109944191757303e-6,6.345013134653701e-8
2.1835022345734136e-6,6.764435375388753e-8
2.2465766912737636e-6,7.160227435278351e-8
2.2890092592806413e-6,7.413460925561433e-8
2.3346545382346573e-6,7.714941387757083e-8
2.3697871196305204e-6,7.990069532640654e-8
2.4015263617802296e-6,8.267831604527927e-8
2.430546715452457e-6,8.501999077343822e-8
2.4598724843075095e-6,8.824863645221038e-8
2.4813938363831094e-6,9.080483370788564e-8
2.5042564914698637e-6,9.295991565289165e-8
2.522469819156299e-6,9.498204914527089e-8
