amp,std
0.0,0.0
-2.8984425069066797e-17,1.0536071895473384e-19
-5.287354942405488e-17,3.0488810083750934e-19
-5.954186336876062e-17,3.882639118275232e-19
-6.152402228740565e-17,4.259087032035395e-19
-6.217849866527716e-17,4.452686091231588e-19
-6.241841196851215e-17,4.546986343391803e-19
-6.251542997178466e-17,4.603229979581412e-19
-6.256647955100303e-17,4.657264957236953e-19
-6.258821003458864e-17,4.673106590720603e-19
-6.25980726835426e-17,4.685240273646504e-19
-6.260454430996714e-17,4.695349777231102e-19
-6.260742508254255e-17,4.699311440403665e-19
-6.260901807266686e-17,4.701291645052404e-19
-6.260986792392281e-17,4.702410634702202e-19
-6.261086584638617e-17,4.706109274712623e-19
-6.261117521402511e-17,4.706569773089866e-19
-6.261142967325608e-17,4.7072356862703535e-19
-6.261168188035441e-17,4.708026404869542e-19
-6.261176414704481e-17,4.708229507801076e-19
-6.26118278987338e-17,4.708253230139776e-19
