amp
0.0
3.130888737608159e-7
7.54168154181768e-7
1.1138251803888244e-6
1.38532406547471e-6
1.5935851047234835e-6
1.755270902426695e-6
1.8837050918214737e-6
1.9872970929218984e-6
2.0723425985602418e-6
2.1430527312637796e-6
2.202632918893025e-6
2.2533444266254793e-6
2.296952787873666e-6
2.334757662094676e-6
2.367798202781961e-6
2.396865718177901e-6
2.4226060480616896e-6
2.4455246295130424e-6
2.4660412664836234e-6
2.484491959064101e-6
