amp,std
0.0,0.0
4.374708545478758e-7,2.072590951244694e-9
1.2489240722806933e-6,7.1464865764619515e-9
2.0999135598601943e-6,1.3340248075514281e-8
2.8881495256011515e-6,1.9941108054661148e-8
3.595584760550149e-6,2.6689599757148932e-8
4.243060822589338e-6,3.3507663474554675e-8
4.824228511223184e-6,4.05578000059955e-8
5.338658487920804e-6,4.73272463267224e-8
5.809486757791654e-6,5.4201928168115316e-8
6.242219915418798e-6,6.100654834085441e-8
6.6274984519374224e-6,6.765854197994854e-8
6.974422299724133e-6,7.398316185975766e-8
7.297980110210473e-6,8.032096971114503e-8
7.6023542649867175e-6,8.688914898842205e-8
7.871113897178542e-6,9.290069952699833e-8
8.125247632702614e-6,9.908009336619131e-8
8.364813952480095e-6,1.049164033700966e-7
8.579654978922287e-6,1.1071035119003636e-7
8.795733300525363e-6,1.1656468026711699e-7
8.99178790809707e-6,1.2236637095147594e-7
