Dl = 0,Dl = 1
2.1629976650273647e-14,4.3950471206010226e-14
1.0729958243296546e-13,2.441808022053155e-13
2.654988139890452e-13,6.57486708815584e-13
4.640179262448271e-13,1.2195132602871287e-12
6.899256824814419e-13,1.9068837432880867e-12
9.2932447580261e-13,2.6857036575273636e-12
1.1793698093035986e-12,3.5124049558694288e-12
1.4334933446685846e-12,4.361068989936315e-12
1.6792869822218919e-12,5.215752674535463e-12
1.9213726469834676e-12,6.0925502846640736e-12
