Dlm2
0.0
1.0432121549237314e-6
3.2224790370875664e-6
5.858104894123583e-6
8.589233829492683e-6
1.131901511062682e-5
1.3955034790078446e-5
1.6478266707794678e-5
1.8863176213984355e-5
2.1112023811265595e-5
2.3221390054681906e-5
2.519975168955151e-5
2.7051291165387837e-5
2.8785607538813338e-5
3.040912310023825e-5
3.19308010702596e-5
3.335725746274207e-5
3.46963020602952e-5
3.5954001059904716e-5
3.7136961154925694e-5
3.8250483110161266e-5
