Dlm1
0.0
1.0539582417949472e-6
3.2721862677225738e-6
5.9815798171512746e-6
8.81731491531099e-6
1.1679943941710898e-5
1.4470254059107938e-5
1.716508404627334e-5
1.973332381320794e-5
2.2173905936090176e-5
2.447959523253459e-5
2.6656645789566276e-5
2.8706833689228373e-5
3.0638416092999676e-5
3.245638091638045e-5
3.4168954549753065e-5
3.5781949568961034e-5
3.73028279342378e-5
3.8737249347670765e-5
4.009171273544262e-5
4.1371356666175355e-5
