amp,std
0.0,0.0
6.204558072518673e-7,8.404851582203592e-9
2.137247337179699e-6,3.7650273504350304e-8
4.1658638970135974e-6,8.260277084935467e-8
6.485993806960525e-6,1.401074521327102e-7
8.963956248326549e-6,2.0695832293055367e-7
1.1628975470215994e-5,2.854920924740536e-7
1.4239754478600208e-5,3.6812291050691905e-7
1.6856510114193673e-5,4.6578492911669337e-7
1.960862377521326e-5,5.713364888375786e-7
2.2142032638522035e-5,6.742033899538036e-7
2.4550380908233012e-5,7.799027707777925e-7
2.698914081126924e-5,9.009707010143309e-7
2.9505790820480305e-5,1.0295867108866336e-6
3.175571922259016e-5,1.164642814115869e-6
3.42703115395249e-5,1.311726615902925e-6
3.640802672252506e-5,1.4479782609568415e-6
3.8429302929317665e-5,1.5725637018556535e-6
4.072851566402135e-5,1.731841945362227e-6
4.279796493628702e-5,1.8762890376514519e-6
4.498163742879201e-5,2.0531613094327392e-6
