amp,std
0.0,0.0
-1.04414576269521e-16,3.1172928911327657e-19
-2.9385892291872915e-16,1.4420575344545521e-18
-4.280766799624217e-16,2.532838256993145e-18
-5.100464656929722e-16,3.4026165875774626e-18
-5.604198060716319e-16,4.097798368010544e-18
-5.930341368486117e-16,4.691431627293694e-18
-6.139132354249657e-16,5.193755072503691e-18
-6.274245629265299e-16,5.62494552764092e-18
-6.375029507496201e-16,6.2194358102145295e-18
-6.445909992820755e-16,6.588552310697248e-18
-6.487511339918575e-16,6.795310312573107e-18
-6.519991795557663e-16,7.008918927723727e-18
-6.543413969487399e-16,7.160296835923044e-18
-6.55889949686387e-16,7.252194880305992e-18
-6.570732731065337e-16,7.331786823427103e-18
-6.581117204914858e-16,7.458472339621652e-18
-6.589527854549348e-16,7.583887297861068e-18
-6.594606006989086e-16,7.628249441697631e-18
-6.599204501053086e-16,7.704408872732904e-18
-6.602365339233113e-16,7.708136489259018e-18
