amp,std
0.0,0.0
9.414308341966176e-7,1.3817399909161406e-9
2.7849228938645497e-6,4.915189525879747e-9
4.854335082786604e-6,9.610125598738634e-9
6.84306321616504e-6,1.4781117662888341e-8
8.689362653459025e-6,2.0277240929269646e-8
1.037635901913782e-5,2.589671387197983e-8
1.188948603623746e-5,3.157629115982125e-8
1.3252657518380713e-5,3.72696137471811e-8
1.4480946953062603e-5,4.286808329011464e-8
1.5588115770876088e-5,4.837651989598128e-8
1.658474532559087e-5,5.369593114576089e-8
1.749157533848704e-5,5.890883592652879e-8
1.8310876134848088e-5,6.391799388204618e-8
1.9054771259303002e-5,6.888903065409667e-8
1.9727314012264873e-5,7.364958721650662e-8
2.034599224304778e-5,7.83066169149659e-8
2.091397247733417e-5,8.271491930793199e-8
2.143380917798775e-5,8.699621802404412e-8
2.1909419459069827e-5,9.122162825643925e-8
2.234861341252159e-5,9.517318974845078e-8
